Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000.0,2024-02-29
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,58010000.0,2024-02-29
Nykaa,Real Estate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000.0,2024-02-29
WorkStack,AgriTech,Smart Farming,Chennai,Falcon Edge,Series A,10633000.0,2024-02-28
HealthRise,AgriTech,Supply Chain,Gurugram,"Accel, Peak XV, Ribbit Capital",Series A,2937000.0,2024-02-27
WorkFit,FoodTech,Food Delivery,Ahmedabad,Tiger Global,Bridge,219000.0,2024-02-27
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000.0,2024-02-27
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000.0,2024-02-26
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000.0,2024-02-26
CloudSolutions,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,8000.0,2024-02-22
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000.0,2024-02-15
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000.0,2024-02-15
LogiMart,Consumer Electronics,Audio,Bengaluru,Falcon Edge,Seed,110000.0,2024-02-14
OYO Rooms,Mobility,Micro Mobility,Chennai,"Peak XV, Ventures India",Series A,12223000.0,2024-02-12
AeroHub,Consumer Electronics,Smart Home,Delhi,Tiger Global,Seed,390000.0,2024-02-12
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,1666000.0,2024-02-11
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000.0,2024-02-09
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,104000.0,2024-02-09
MediHive,FinTech,NeoBank,Kolkata,"Bessemer Venture Partners, LCatterton, Nexus Venture Partners",Seed,795000.0,2024-02-07
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000.0,2024-02-06
Innovaccer,AgriTech,Supply Chain,Ahmedabad,Kedaara Capital,Series A,3039000.0,2024-02-05
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000.0,2024-02-04
CoreSpace,EdTech,Test Prep,Bengaluru,"Kalaari Capital, Y Combinator",Growth,574676000.0,2024-02-04
Meesho,EdTech,UpSkilling,Noida,Kedaara Capital,Series A,1580000.0,2024-02-03
Swiggy,Mobility,Ride Sharing,Pune,"Info Edge, Ventures India",Pre-Series A,222000.0,2024-02-02
Udaan,Real Estate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000.0,2024-01-31
FarmTech,Real Estate,Home Services,Pune,Ventures India,Seed,83000.0,2024-01-31
HealthAnalytics,Logistics,Supply Chain,Noida,"Kalaari Capital, Ventures India",Seed,358000.0,2024-01-30
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,113169000.0,2024-01-30
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000.0,2024-01-29
GrowthCare,Real Estate,PropTech,Mumbai,Tiger Global Management,Seed,68000.0,2024-01-27
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,1746000.0,2024-01-22
WorkStack,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000.0,2024-01-22
UrbanStack,Mobility,Ride Sharing,Chennai,"Lightspeed India, Matrix Partners India, Omidyar Network",Seed,1584000.0,2024-01-21
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000.0,2024-01-20
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000.0,2024-01-19
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000.0,2024-01-17
Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,9000.0,2024-01-17
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000.0,2024-01-16
PhonePe,AgriTech,Smart Farming,Ahmedabad,Prosus Ventures,Seed,216000.0,2024-01-16
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000.0,2024-01-16
Housejoy,Real Estate,PropTech,Chennai,Mirae Asset,Series C,289004000.0,2024-01-15
ShareChat,FinTech,InsurTech,Delhi,"Accel, Peak XV",Series C,117144000.0,2024-01-09
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000.0,2024-01-09
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000.0,2024-01-08
NimbusLabs,FoodTech,Cloud Kitchen,Pune,IFC,Seed,54000.0,2024-01-07
DriveFit,SaaS,B2B SaaS,Pune,Y Combinator,Pre-Series A,417000.0,2024-01-06
FarmBox,Mobility,Ride Sharing,Mumbai,"Prosus Ventures, Y Combinator",Seed,956000.0,2024-01-04
NextStack,Consumer Electronics,Smart Home,Kolkata,SoftBank Vision Fund,Series C,36336000.0,2024-01-02
DriveEdge,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,314000.0,2024-01-01
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,22619000.0,2023-12-29
DataHive,EdTech,K12,Mumbai,"Accel, Zodius Capital",Series B,26816000.0,2023-12-28
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,430000.0,2023-12-24
FinSense,FoodTech,Cloud Kitchen,Pune,Accel,Private Equity,170086000.0,2023-12-23
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000.0,2023-12-20
NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,68000.0,2023-12-20
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000.0,2023-12-20
Dailyhunt,Logistics,Supply Chain,Delhi,Prosus Ventures,Seed,500000.0,2023-12-19
Porter,Media,Content,Pune,"Kedaara Capital, Tiger Global Management",Seed,489000.0,2023-12-19
Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,19000.0,2023-12-18
FoodLoop,Media,Social,Hyderabad,"Mirae Asset, Zodius Capital",Debt,22303000.0,2023-12-17
NeoTech,Mobility,Ride Sharing,Kolkata,A91 Partners,Series C,51004000.0,2023-12-14
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,7000.0,2023-12-14
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000.0,2023-12-12
SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,36000.0,2023-12-07
NeoSense,Enterprise,Automation,Delhi,Kalaari Capital,Pre-Series A,587000.0,2023-12-06
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,3558000.0,2023-12-06
Zepto,Real Estate,Home Services,Noida,"Accel, Prosus Ventures",Series A,6770000.0,2023-12-05
Cars24,E-commerce,Fashion,Ahmedabad,"Mirae Asset, SoftBank Vision Fund",Series A,1438000.0,2023-12-05
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000.0,2023-12-05
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000.0,2023-12-04
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000.0,2023-12-03
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000.0,2023-12-01
AgriSense,Enterprise,Automation,Hyderabad,"Falcon Edge, Y Combinator",Seed,1034000.0,2023-11-30
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,438231000.0,2023-11-29
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000.0,2023-11-27
AgriFit,Retail,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Seed,1218000.0,2023-11-24
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000.0,2023-11-24
OYO Rooms,FinTech,Payments,Gurugram,Prosus Ventures,Seed,947000.0,2023-11-22
NextSense,FoodTech,Cloud Kitchen,Pune,"Info Edge, Tiger Global Management",Seed,1903000.0,2023-11-22
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000.0,2023-11-14
Zomato,Real Estate,Rental Tech,Delhi,"Blume Ventures, Mirae Asset",Pre-Seed,63000.0,2023-11-12
Cred,Mobility,Ride Sharing,Bengaluru,"Falcon Edge, Nexus Venture Partners",Pre-Series A,113000.0,2023-11-12
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000.0,2023-11-11
CoreConnect,E-commerce,Marketplace,Chennai,"Peak XV, Ribbit Capital",Series A,3668000.0,2023-11-09
FoodLoop,Enterprise,Automation,Delhi,"Bessemer Venture Partners, Zodius Capital",Seed,114000.0,2023-11-08
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000.0,2023-11-04
NextSense,Logistics,Fleet Management,Gurugram,"Elevation Capital, Sequoia Capital India",Series A,1335000.0,2023-11-03
OYO Rooms,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,117757000.0,2023-11-03
HealthRise,Consumer Electronics,Wearables,Delhi,Zodius Capital,Debt,3346000.0,2023-11-02
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,137000.0,2023-10-31
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,548000.0,2023-10-30
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000.0,2023-10-30
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000.0,2023-10-25
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000.0,2023-10-24
CoreFlow,SaaS,HRTech,Ahmedabad,LCatterton,Series C,38931000.0,2023-10-23
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000.0,2023-10-22
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000.0,2023-10-20
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000.0,2023-10-17
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,67000.0,2023-10-16
HealthRise,SaaS,B2B SaaS,Noida,LCatterton,Bridge,1271000.0,2023-10-13
Delhivery,Enterprise,Analytics,Chennai,"Kalaari Capital, LCatterton, Zodius Capital",Angel,29000.0,2023-10-07
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000.0,2023-10-07
QuantumSolutions,Logistics,Fleet Management,Kolkata,Prosus Ventures,Bridge,366000.0,2023-10-05
GreenConnect,SaaS,B2B SaaS,Delhi,"Elevation Capital, Zodius Capital",Series D,258416000.0,2023-09-28
MediHive,EdTech,K12,Pune,"A91 Partners, Nexus Venture Partners, Y Combinator",Seed,107000.0,2023-09-27
SkillFlow,Retail,Fashion,Chennai,"Peak XV, Tiger Global Management",Pre-Series A,886000.0,2023-09-27
Delhivery,Real Estate,Rental Tech,Kolkata,Kalaari Capital,Seed,778000.0,2023-09-25
EduMart,Media,Content,Mumbai,"Kalaari Capital, Matrix Partners India",Series C,182986000.0,2023-09-22
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000.0,2023-09-19
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000.0,2023-09-17
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000.0,2023-09-17
HyperLoop,Real Estate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000.0,2023-09-17
QuantumAnalytics,SaaS,HRTech,Chennai,Matrix Partners India,Pre-Series A,837000.0,2023-09-16
NeoSense,AgriTech,Marketplace,Mumbai,"Bessemer Venture Partners, Ventures India",Series C,78705000.0,2023-09-15
DataEdge,Media,Social,Hyderabad,Ribbit Capital,Seed,76000.0,2023-09-14
AgriHive,FinTech,Lending,Mumbai,"Mirae Asset, Omidyar Network",Pre-Seed,34000.0,2023-09-13
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,367311000.0,2023-09-12
Cred,FoodTech,Food Delivery,Gurugram,Tiger Global,Seed,452000.0,2023-09-12
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000.0,2023-09-11
NeoTech,SaaS,DevTools,Chennai,Matrix Partners India,Bridge,121000.0,2023-09-09
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000.0,2023-09-08
FreshTech,Logistics,Supply Chain,Bengaluru,"Matrix Partners India, Nexus Venture Partners, Zodius Capital",Series A,11442000.0,2023-09-08
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000.0,2023-08-31
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,383000.0,2023-08-31
FreshTech,SaaS,MarTech,Noida,Omidyar Network,Seed,638000.0,2023-08-29
NextFlow,Consumer Electronics,Smart Home,Pune,"Peak XV, Ventures India",Series B,63289000.0,2023-08-26
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000.0,2023-08-24
Innovaccer,E-commerce,Grocery,Hyderabad,Kalaari Capital,Seed,149000.0,2023-08-23
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000.0,2023-08-21
FinFoods,FinTech,Lending,Bengaluru,Ribbit Capital,Seed,89000.0,2023-08-21
Freshworks,EdTech,K12,Pune,Sequoia Capital India,Seed,1009000.0,2023-08-19
Udaan,Media,Streaming,Delhi,"Accel, Falcon Edge",Series A,1763000.0,2023-08-16
CloudLabs,SaaS,MarTech,Kolkata,Mirae Asset,Series C,47844000.0,2023-08-15
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000.0,2023-08-14
HomeMart,Enterprise,Security,Bengaluru,Matrix Partners India,Series B,5493000.0,2023-08-14
Practo,Real Estate,Home Services,Noida,Tiger Global,Angel,81000.0,2023-08-13
Ola,Media,Content,Delhi,Falcon Edge,Seed,568000.0,2023-08-11
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000.0,2023-08-07
GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,178000.0,2023-08-07
Udaan,FoodTech,Food Delivery,Gurugram,Bessemer Venture Partners,Bridge,1256000.0,2023-08-04
AeroHub,E-commerce,D2C,Ahmedabad,Accel,Bridge,60000.0,2023-08-01
Meesho,Real Estate,Rental Tech,Kolkata,"IFC, Zodius Capital",Seed,76000.0,2023-07-30
CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,122000.0,2023-07-30
DataHive,Logistics,Fleet Management,Delhi,"LCatterton, Omidyar Network",Series C,29202000.0,2023-07-30
WorkPay,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000.0,2023-07-30
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000.0,2023-07-29
EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,50000.0,2023-07-29
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000.0,2023-07-28
CoreConnect,Mobility,EV,Hyderabad,"Prosus Ventures, Tiger Global Management",Series A,1036000.0,2023-07-27
Freshworks,Consumer Electronics,Smart Home,Ahmedabad,Accel,Seed,1127000.0,2023-07-27
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000.0,2023-07-26
UrbanDrive,Retail,Fashion,Delhi,"IFC, Mirae Asset, SoftBank Vision Fund",Seed,369000.0,2023-07-25
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000.0,2023-07-25
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,1664000.0,2023-07-23
Unacademy,Logistics,Supply Chain,Pune,Tiger Global,Series D,130783000.0,2023-07-23
HomeFoods,Enterprise,Automation,Bengaluru,"Falcon Edge, Tiger Global",Series B,7347000.0,2023-07-18
AutoFlow,SaaS,DevTools,Kolkata,Tiger Global Management,Series B,24587000.0,2023-07-18
SkillFlow,HealthTech,Diagnostics,Ahmedabad,"A91 Partners, Falcon Edge, Ribbit Capital",Series A,8097000.0,2023-07-16
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000.0,2023-07-15
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000.0,2023-07-14
BharatPe,FinTech,Lending,Hyderabad,Info Edge,Series A,3388000.0,2023-07-13
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000.0,2023-07-13
HyperLoop,Real Estate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000.0,2023-07-10
GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,1071000.0,2023-07-08
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000.0,2023-07-06
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000.0,2023-07-04
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,1416000.0,2023-07-02
MediHive,EdTech,Test Prep,Noida,IFC,Bridge,1758000.0,2023-06-21
FreshTech,E-commerce,Grocery,Mumbai,"A91 Partners, Tiger Global",Seed,130000.0,2023-06-21
UrbanSolutions,Real Estate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000.0,2023-06-20
NeoTech,Logistics,Fleet Management,Gurugram,"Kalaari Capital, Mirae Asset, Prosus Ventures",Pre-Series A,132000.0,2023-06-20
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000.0,2023-06-20
SmartTech,HealthTech,Telemedicine,Hyderabad,Elevation Capital,Seed,129000.0,2023-06-15
Meesho,Real Estate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000.0,2023-06-15
GrowthConnect,AgriTech,Smart Farming,Bengaluru,"SoftBank Vision Fund, Y Combinator",Pre-Series A,876000.0,2023-06-14
FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,25000.0,2023-06-12
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,10000.0,2023-06-10
SkillSolutions,FoodTech,Grocery,Gurugram,Accel,Series B,6730000.0,2023-06-07
NeoSense,EdTech,Coding Bootcamp,Chennai,"Kalaari Capital, Kedaara Capital, Zodius Capital",Series C,42331000.0,2023-05-30
SkillSolutions,EdTech,Coding Bootcamp,Mumbai,Kalaari Capital,Series C,98917000.0,2023-05-27
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000.0,2023-05-25
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000.0,2023-05-24
GrowthFlow,Media,Content,Delhi,"Kedaara Capital, Y Combinator",Series A,10651000.0,2023-05-23
GreenEdge,Real Estate,PropTech,Mumbai,Y Combinator,Seed,122000.0,2023-05-23
NextFlow,Enterprise,Analytics,Hyderabad,"Accel, Nexus Venture Partners",Series C,93825000.0,2023-05-22
FreshBox,Media,Streaming,Hyderabad,Tiger Global Management,Seed,289000.0,2023-05-22
Flipkart,Logistics,Supply Chain,Delhi,Kalaari Capital,Seed,79000.0,2023-05-16
BlueTech,Mobility,EV,Delhi,"LCatterton, Peak XV",Series A,14210000.0,2023-05-13
Zomato,FoodTech,Grocery,Hyderabad,Tiger Global,Series A,2658000.0,2023-05-10
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000.0,2023-05-09
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000.0,2023-05-09
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000.0,2023-05-01
OYO Rooms,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000.0,2023-04-26
Meesho,Mobility,Micro Mobility,Kolkata,Info Edge,Pre-Series A,349000.0,2023-04-22
DriveFit,Real Estate,Rental Tech,Gurugram,Falcon Edge,Series B,12266000.0,2023-04-20
AutoMart,SaaS,MarTech,Kolkata,Kalaari Capital,Seed,97000.0,2023-04-19
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000.0,2023-04-19
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000.0,2023-04-19
BlueSpace,Real Estate,PropTech,Kolkata,Accel,Series A,9459000.0,2023-04-18
FreshTech,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000.0,2023-04-16
Housejoy,FinTech,Lending,Gurugram,Mirae Asset,Series C,65156000.0,2023-04-15
HealthAnalytics,HealthTech,Pharmacy,Ahmedabad,Omidyar Network,Angel,99000.0,2023-04-14
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000.0,2023-04-10
Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,119000.0,2023-04-07
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000.0,2023-04-04
UrbanStack,Media,Social,Gurugram,LCatterton,Seed,105000.0,2023-04-01
FoodFit,AgriTech,Marketplace,Mumbai,Omidyar Network,Series B,38525000.0,2023-03-30
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000.0,2023-03-28
SkillRise,Consumer Electronics,Smart Home,Bengaluru,Elevation Capital,Pre-Series A,164000.0,2023-03-28
FarmFit,Mobility,EV,Noida,"Falcon Edge, Kedaara Capital",Series A,1349000.0,2023-03-27
Myntra,EdTech,Test Prep,Noida,A91 Partners,Pre-Seed,37000.0,2023-03-26
LogiMart,Logistics,Supply Chain,Pune,Accel,Series B,18607000.0,2023-03-25
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000.0,2023-03-23
QuantumAnalytics,Real Estate,Rental Tech,Gurugram,Info Edge,Pre-Series A,319000.0,2023-03-19
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000.0,2023-03-19
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000.0,2023-03-18
CoreSpace,SaaS,MarTech,Ahmedabad,Zodius Capital,Pre-Series A,377000.0,2023-03-18
EduMart,FoodTech,Cloud Kitchen,Pune,Tiger Global Management,Seed,137000.0,2023-03-17
GreenConnect,Real Estate,Home Services,Chennai,"IFC, Tiger Global",Series B,9425000.0,2023-03-16
DataAnalytics,Media,Content,Noida,"Blume Ventures, Sequoia Capital India",Series A,1916000.0,2023-03-14
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000.0,2023-03-14
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000.0,2023-03-13
BharatPe,Enterprise,Automation,Ahmedabad,Accel,Seed,532000.0,2023-03-13
AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,105000.0,2023-03-11
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000.0,2023-03-11
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000.0,2023-03-08
